Ward Code,Diabetes_2010,Hypertension_2010,Diabetes_2011,Hypertension_2011,Diabetes_2012,Hypertension_2012,Diabetes_2013,Hypertension_2013,Diabetes_2014,Hypertension_2014,Diabetes_2015,Hypertension_2015,Diabetes_2016,Hypertension_2016,Diabetes_2017,Hypertension_2017,Diabetes_2018,Hypertension_2018,Diabetes_2019,Hypertension_2019
E05000433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000437,0.750677971,0.535680779,0.764766165,0.550840365,0.803380862,0.505906027,0.825502931,0.509377285,0.775276475,0.493881388,0.818232275,0.476459369,0.752793206,0.497134939,0.749729943,0.479313689,0.727181241,0.495699916,0.698705903,0.508554569
E05000438,2.275463886,1.900632773,2.260069127,1.842201213,2.628830389,2.225929838,2.548787621,2.071795353,2.566315534,2.031505283,2.535654665,2.013710386,2.327185463,1.861760393,2.274374211,1.827449169,2.16335168,1.684341481,2.148327355,1.714230738
E05000439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000440,2.03733785,1.481014831,2.025529706,1.417385043,2.209978967,1.601710433,2.109575287,1.493009032,1.976748245,1.36350058,2.148531893,1.517513426,2.151608953,1.548835894,2.104256472,1.491139353,2.077520769,1.470600392,2.083868098,1.439391668
E05000441,2.393153852,1.568289518,2.241336403,1.520573684,2.843687207,1.636173995,2.630810044,1.526200075,2.47541208,1.431814163,2.395496739,1.464213882,2.215295918,1.360461828,2.206754995,1.369188733,1.988739767,1.28694666,1.990003446,1.35884211
E05000442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000443,0.724398096,0.459340879,0.828624194,0.486832029,0.806400471,0.427278063,0.793000515,0.415168014,0.770769637,0.427500344,0.786875574,0.424257662,0.772262518,0.434948485,0.80556398,0.468893541,0.817417569,0.498341798,0.793019643,0.473063519
E05000444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000446,2.68703173,1.762772222,2.507698824,1.663096812,3.151203293,1.869317838,3.086356754,1.799040533,3.063343497,1.795136228,3.001417969,1.756766361,2.807945807,1.692554129,2.70716874,1.709919863,2.480144088,1.605779405,2.389796109,1.614546267
